direccion,nombre,pais,telefono
El Molino 1270 Coquimbo,Ailinco Naval e Industrial Chile Ltda.,Chile,51 - 249 744
"Calle Gabriel Chariarse 880 – Of. 201, Miraflores, Lima",Altamar Servicios Navales SAC,Perú,51 1 - 444 1255
Camino a Niebla s/n km 8.5 Valdivia,Alwoplast S.A,Chile,63 - 203 200
Esquina los perales con Pedro Aquirre Cerda S/N. Ventanas Puchuncaví,Asemar Ltda.,Chile,9 - 85139190
Av. España 1135 Valdivia,Asenav S.A.,Chile,63 - 2363100
Avenida Bulnes 05275 Punta Arenas,ASMAR Planta Industrial Magallanes,Chile,61 - 214151
Avenida Jorge Montt 250 Talcahuano,ASMAR Planta Industrial Talcahuano,Chile,41 - 2744000
Avenida Altamirano 1015 Valparaíso,ASMAR Planta Industrial Valparaíso,Chile,32 - 2355400
Av. España 979 Valdivia,Astillero CONAV S.A.,Chile,63 - 216296
Camino Concon-Quintero Km 2 Quintero,Astillero Conavre Ltda.,Chile,32 - 2811199
"Schuyler 338, San Vicente. Talcahuano",Astillero Pedro Carrasco Muñoz,Chile,412 - 542115
"Boulevard de la Ribera 67 - 1646,San Fernando Buenos Aires",Astillero Regnícoli,Argentina,5411 - 4746 5665
"12 de Octubre 7835/88, Mar del Plata",Astillero Sur,Argentina,54223 - 4811500
"Ruta Alberdi Km 8, Villeta Villeta",Astillero Tsuneishi Paraguay S.A.,Paraguay,595 - 981515728
"Avda. Latorre 1221, San Vicente Talcahuano",Astillero y Maestranza Mello,Chile,41 - 2557824
"O Freixo-Outes, A Coruña, Galicia",Astilleros Amado,España,34 - 981765277
Máximo Lira 1099 Arica,Astilleros Arica S.A.,Chile,58 - 2225043
"Rooselvelt Avenue, Balboa, P.O. Box 3666","Astilleros Braswell International, S.A.",Panamá,507 - 232 5566
"Muelle Comercial Nº2, CP 36600 Vilagarcía de Arousa",Astilleros Carou,España,34 986 - 565278
Canal Beagle esq. Arturo Prat s/n Caldera,Astilleros de Caldera,Chile,52 - 315200
"Barón de Juras Reales 5250, Conchalí Santiago",Astilleros Detroit Chile S.A.,Chile,2 - 2440 8500
Avenida España 800 Caleta Pichi Pelluco Puerto Montt,Astilleros Inconaci Ltda,Chile,65 - 317 040
"Los Gobelinos 2584, Renca Santiago",Astilleros Marco Chilena Ltda.,Chile,2 - 27824400
"Chubut 1815 Tigre, Provincia de Buenos Aires",Astilleros Mestrina S.A.,Argentina,5411 - 47490276
Av. España 390 Talcahuano,Astilleros Muñoz y Carrasco Ltda.,Chile,41 - 542115
Roberto Pretot 143 Santiago,Astilleros Nacionales S.A.,Chile,2 - 2696 0908
"French 65, San Fernando 1646 Buenos Aires",Astilleros Neumáticos BIM,Argentina,5411 - 4746 0089
Regimiento Coquimbo 230 Coquimbo,Astilleros Servel Ltda.,Chile,51 - 327 771
Av. Prefectura Naval Argentina 772 Mar del Plata,Astilleros SPI S.A.,Argentina,549 - 223-4809480
Camino Chinquihue s/n Puerto Montt,Astilleros Tenglo Ltda.,Chile,65 - 256542
Camino Chinquihue s/n Puerto Montt,Astilleros Vergara S.A.,Chile,65 - 259524
Camino Chinquihue Km.6 Puerto Montt,Astilleros y Maestranza Skorpios S.A.,Chile,65 - 255061
"Cerro El Plomo 5855, of 507, Las condes Santiago",Astilleros y Servicios Navales Ltda. (ASENAV),Chile,2 - 22741515
"Arica 2500, Valdivia",Astilleros-Varaderos Canal Haverbeck Ltda.,Chile,63 - 224333
"Vacas Galindo y Viveros. Junto a la Primera Zona Naval, Guayaquil",Astinave,Ecuador,593 4 - 244 9656
"Calle 25, Avenida 46, Cienfuegos, Cuba",Astisur,Cuba,04 32 - 519735
Teniente Merino 536 Puerto Aysén,Astyserv Ltda.,Chile,67 - 332688
Phillipi 541 Valparaiso,Bormen Ltda,Chile,32 - 3191112
"PO Box 58, 9003 Varna",Bulgarian Ship Hydrodynamics Centre (BSHC),Bulgaria,359 52 - 2776390
"Carretera a la Barra, S/N, puerta 12, C. P. 89540 Madero, Tamps.",Cerenav Shipyard Pemex Logística,México,52 229 - 9894600
"89-91 HIng Wah Street West, Lai Chi Kok. Kowloon. Hong Kong",Cheoy Lee Shipyards,China,852 - 23076333
Campo Via y los Arbolitos Luque,CIE SA-Astillero Chaco Paraguayo SA,Paraguay,595 - 21642850
"8345 NW 66th St # 6169 Miami, FL",Del Mar Marine Corp.,Estados Unidos,1 206 - 2036270
"Barón de Juras Reales 5250, Conchalí Santiago",Detroit Chile S.A.,Chile,2 - 24408500
"Av Américo Vespucio 1963, Huechuraba Santiago",Empresa Constructora Contex Ltda.,Chile,2 - 24620730
Camino Chinquihue s/n Puerto Montt,Ferrosur Ltda.,Chile,65 - 250440
"Las Talaveras 13 B, Maipu Santiago",Fibrogen,Chile,2 - 25371642
General Lagos 1049 Valdivia,Fibronaval,Chile,63 - 2210869
"Cortada Mangrullo 5059, Rosario, Argentina",Fluvimar Reparaciones Navales S.A.,Argentina,54 341 - 4622756
"Apdo. Correos, 316 43080 Tarragona","GRUFASA - Grupo Fanjul, S.A.",España,34 - 977542899
"Blvd. Jesús Reyes Heroles No.53, Col. Centro CP.92800, Tuxpan Veracruz",Hutchinson Ports TNG,México,52 - 229 1610307
Mauricio de la Parra 1705 Puerto Montt,Ingenieria NISSI SpA,Chile,56 - 940032899
"Arlegui 160, Of. 5 Viña del Mar",Innus Ltda.,Chile,32 - 2477384
Av. Ramón Picarte 4215 Valdivia,KINETEC Ltda.,Chile,63 - 273713
Av.Las Esteras Sur 2851 Santiago,KSB Chile S.A.,Chile,2 - 26778300
Tijuana BC Tijuana,Lechcobi Maritime Solutions,México,1 619 - 769-1173
"20, Gong-3 Rd., Jih Nan Li, Tachia Town, Taichung County",Lung Yun Casting Co Ltd,Taiwán,886 4 - 26817600
Parcela A 8 parque Industrial Apiasmontt Camino Tepual Puerto Montt,Maestranza Chilena Ltda,Chile,65 - 430837
Estado 337 Of.10 Santiago,Maestranza Iquique S.A,Chile,2 - 26337066
"Pozo Almonte 561, Casa 21 Puerto Montt",Maestranza Mavelec,Chile,65 - 2343464
Phillippi 498 Valparaíso,Maestranza Nachipa S.A.,Chile,32 - 2660383
Canal Beagle Esq. Arturo Prat s/n Caldera,Maestranza Naval S.A.,Chile,52 - 315200
"Juan Macaya 64, San Vicente Talcahuano",Maestranza San Vicente Ltda.,Chile,41 - 557316
Phillippi 48 Valparaíso,Maestranza Tecnomac S.A.,Chile,32 - 2490465
Av.El Dique 1530 Constitución,Maestranza y Astilleros Constitución Ltda.,Chile,71 - 672901
Don Bosco 351 Bahia Blanca,Majestic Construcciones y Servicios S.A.,Argentina,54 - 911 58689154
"Av. Sáenz Peña 1439 Callao Lima, Perú",Marco Peruana S.A,Perú,51 1 - 4294978
Av. Freire 1122 Quilpué Valparaíso,Maritec Ltda,Chile,32 - 2493818
Santa Elena 1433 Santiago,MD Engine & Energy,Chile,2 - 25502000
La Torre 1221 Talcahuano,Mello Ltda.,Chile,41 - 2557824
